home_team,away_team,home_goals,away_goals,result,season,total_goals
Liverpool,Wigan Athletic,2.0,0.0,H,2006-2007,2.0
Watford,Manchester City,1.0,1.0,D,2006-2007,2.0
West Ham United,Everton,1.0,0.0,H,2006-2007,1.0
Manchester United,Middlesbrough,1.0,1.0,D,2006-2007,2.0
Newcastle United,Chelsea,0.0,0.0,D,2006-2007,0.0
Aston Villa,Portsmouth,0.0,0.0,D,2006-2007,0.0
Chelsea,Bolton Wanderers,2.0,2.0,D,2006-2007,4.0
Everton,Manchester United,2.0,4.0,A,2006-2007,6.0
Blackburn Rovers,Charlton Athletic,4.0,1.0,H,2006-2007,5.0
Manchester City,Aston Villa,0.0,2.0,A,2006-2007,2.0
Middlesbrough,Tottenham Hotspur,2.0,3.0,A,2006-2007,5.0
Portsmouth,Liverpool,2.0,1.0,H,2006-2007,3.0
Sheffield United,Watford,1.0,0.0,H,2006-2007,1.0
Wigan Athletic,West Ham United,0.0,3.0,A,2006-2007,3.0
Arsenal,Fulham,3.0,1.0,H,2006-2007,4.0
Reading,Newcastle United,1.0,0.0,H,2006-2007,1.0
Manchester City,Manchester United,0.0,1.0,A,2006-2007,1.0
Everton,Portsmouth,3.0,0.0,H,2006-2007,3.0
Fulham,Liverpool,1.0,0.0,H,2006-2007,1.0
Newcastle United,Blackburn Rovers,0.0,2.0,A,2006-2007,2.0
Reading,Watford,0.0,2.0,A,2006-2007,2.0
West Ham United,Bolton Wanderers,3.0,1.0,H,2006-2007,4.0
Wigan Athletic,Middlesbrough,0.0,1.0,A,2006-2007,1.0
Aston Villa,Sheffield United,3.0,0.0,H,2006-2007,3.0
Arsenal,Chelsea,1.0,1.0,D,2006-2007,2.0
Charlton Athletic,Tottenham Hotspur,0.0,2.0,A,2006-2007,2.0
Chelsea,Manchester United,0.0,0.0,D,2006-2007,0.0
Tottenham Hotspur,Blackburn Rovers,1.0,1.0,D,2006-2007,2.0
Blackburn Rovers,Reading,3.0,3.0,D,2006-2007,6.0
Bolton Wanderers,Aston Villa,2.0,2.0,D,2006-2007,4.0
Chelsea,Everton,1.0,1.0,D,2006-2007,2.0
Liverpool,Charlton Athletic,2.0,2.0,D,2006-2007,4.0
Manchester United,West Ham United,0.0,1.0,A,2006-2007,1.0
Middlesbrough,Fulham,3.0,1.0,H,2006-2007,4.0
Portsmouth,Arsenal,0.0,0.0,D,2006-2007,0.0
Sheffield United,Wigan Athletic,1.0,2.0,A,2006-2007,3.0
Tottenham Hotspur,Manchester City,2.0,1.0,H,2006-2007,3.0
Watford,Newcastle United,1.0,1.0,D,2006-2007,2.0
